,name,nation,age,height,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,biker_sys_nr,team_sys_nr,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,date,stage_type,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
0,Y.Hutarovich,Belarus,31.0,1.79,AG2R La Mondiale,2014,1,1.0,20870.0,1.0,20860.0,0.0,6.0,0.0,0.0,0.0,8.0,100,10072,1.0,7.0,2014.0,1.0,55.57142857142857,131.0,1975.0,16025.42857142857,20870.0,1.0,47.857142857142854,117.0,20860.0,71792.85714285714,112168.0,4.0,1.0,114.0,123.66666666666667,131.0,1975.0,12692.333333333334,18752.0,98.0,109.0,117.0,91441.0,104600.66666666667,112168.0,0.0,0.0,0.5714285714285714,0.14285714285714285,PROF,115.0,70.0,Bretagne - Séché Environnement,-,3.0,11430.9,PROF,430.0,59.0,Fortuneo - Vital Concept,-,1.0,9262.8,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
1,R.Maikin,Russia,24.0,,RusVelo,2014,1,2.0,20870.0,2.0,20864.0,0.0,2.0,0.0,0.0,2.0,0.0,14004,3482,3.0,17.0,2015.8235294117646,2.0,215.64705882352942,999.0,10576.0,16225.64705882353,21442.0,2.0,212.05882352941177,999.0,10576.0,52221.470588235294,97667.0,2.0,0.0,120.0,415.3333333333333,999.0,11649.0,14550.333333333334,19622.0,118.0,416.6666666666667,999.0,69665.0,85539.66666666667,97667.0,0.0,0.0,0.11764705882352941,0.0,PROF,301.0,54.0,RusVelo,-,1.0,8473.1,PROF,161.0,63.0,Gazprom - RusVelo,-,2.0,10287.0,PROF,428.0,52.0,Gazprom - RusVelo,-,0.0,8936.9,PROF,735.0,44.0,Gazprom - RusVelo,-,0.0,7349.7,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
2,M.Mori,Italy,34.0,1.72,Lampre - Merida,2014,1,3.0,20870.0,3.0,20866.0,0.0,0.0,0.0,0.0,0.0,4.0,492,6418,3.0,20.0,2014.95,3.0,99.05,999.0,1758.0,14639.85,23031.0,3.0,88.85,999.0,9801.0,59788.75,108978.0,1.0,0.0,46.0,66.66666666666667,79.0,1963.0,14590.0,23031.0,39.0,41.333333333333336,45.0,62397.0,78405.33333333333,87391.0,0.0,0.0,0.05,0.0,PRT,640.0,73.0,Lampre - Merida,-,0.0,11960.4,PRT,375.0,70.0,Lampre - Merida,-,0.0,11537.7,PRT,1257.0,55.0,UAE Team Emirates,330,0.0,8602.1,PRT,1142.0,63.0,UAE Team Emirates,295,0.0,9924.4,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
3,G.Boivin,Canada,25.0,1.80,Cannondale Pro Cycling,2014,1,4.0,20870.0,6.0,20870.0,0.0,1.0,0.0,0.0,3.0,4.0,1937,3481,1.0,7.0,2014.0,4.0,70.0,151.0,1919.0,15905.285714285714,20870.0,6.0,51.42857142857143,95.0,20870.0,71552.85714285714,111337.0,2.0,0.0,91.0,100.0,110.0,1919.0,12412.0,18091.0,84.0,89.33333333333333,95.0,91327.0,104027.33333333333,111337.0,0.0,0.0,0.2857142857142857,0.0,CONT,460,62.0,Optum p/b Kelly Benefit Strategies,-,1.0,8655.5,CONT,619,40.0,Cycling Academy Team,-,1.0,5630.7,PROF,276,61.0,Israel Cycling Academy,-,1.0,9546.0,PROF,423,61.0,Israel Cycling Academy,-,0.0,10098.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
4,M.Haller,Austria,23.0,1.78,Team Katusha,2014,1,5.0,20870.0,7.0,20870.0,1.0,0.0,0.0,1.0,3.0,2.0,6246,8441,1.0,7.0,2014.0,5.0,65.14285714285714,133.0,1981.0,16026.285714285714,20870.0,7.0,53.42857142857143,118.0,20870.0,71803.28571428571,112183.0,2.0,0.0,117.0,122.66666666666667,133.0,1981.0,12694.333333333334,18752.0,100.0,110.66666666666667,118.0,91450.0,104611.66666666667,112183.0,0.0,0.0,0.2857142857142857,0.0,PRT,360,72.0,Team Katusha,196,1.0,11969.9,PRT,1340,85.0,Team Katusha,-,0.0,14288.5,PRT,765,85.0,Team Katusha - Alpecin,-,0.0,13660.8,PRT,998,17.0,Team Katusha - Alpecin,-,0.0,2733.3,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
5,N.Maes,Belgium,28.0,1.90,Omega Pharma-Quick Step,2014,1,6.0,20870.0,8.0,20870.0,0.0,1.0,0.0,1.0,0.0,4.0,762,3475,2.0,12.0,2014.8333333333333,6.0,139.58333333333334,999.0,1976.0,16367.25,21442.0,8.0,140.58333333333334,999.0,10870.0,60636.083333333336,112548.0,3.0,0.0,29.0,377.6666666666667,999.0,18776.0,20339.666666666668,21442.0,85.0,392.3333333333333,999.0,43641.0,63290.333333333336,83813.0,0.0,0.0,0.25,0.0,PRT,243,83.0,Etixx - Quick Step,182,0.0,13853.0,PRT,648,53.0,Etixx - Quick Step,-,0.0,9654.4,PRT,541,66.0,Lotto - Soudal,197,0.0,11288.0,PRT,820,54.0,Lotto - Soudal,287,0.0,9159.4,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
6,B.Vallee,Poland,21.0,,Lotto - Belisol,2014,1,7.0,20870.0,9.0,20870.0,0.0,1.0,0.0,0.0,2.0,9.0,6553,3473,2.0,13.0,2014.4615384615386,3.0,140.07692307692307,999.0,1910.0,15850.538461538461,22746.0,4.0,150.0,999.0,9892.0,61014.53846153846,111563.0,2.0,0.0,100.0,404.3333333333333,999.0,16707.0,19621.666666666668,22746.0,116.0,413.0,999.0,55037.0,74958.33333333333,92055.0,0.0,0.0,0.15384615384615385,0.0,CONT,486.0,46.0,ActiveJet Team,-,6.0,7528.7,PROF,4104.0,11.0,Verva - ActiveJet Pro Cycling Team,-,0.0,1552.2,CONT,441.0,39.0,Domin Sport,-,0.0,5882.3,PROF,347.0,60.0,CCC Sprandi Polkowice,-,0.0,9410.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
7,S.Lander,Denmark,23.0,1.75,BMC Racing Team,2014,1,8.0,20870.0,10.0,20870.0,0.0,0.0,2.0,0.0,0.0,6.0,1710,10075,1.0,6.0,2014.0,8.0,217.33333333333334,999.0,13167.0,17960.5,20870.0,10.0,199.83333333333334,999.0,20870.0,64478.0,107177.0,1.0,0.0,15.0,366.3333333333333,999.0,16804.0,18090.333333333332,20609.0,37.0,368.6666666666667,999.0,74101.0,90727.0,107177.0,0.0,0.0,0.16666666666666666,0.0,CONT,1610.0,26.0,Team Tre-For - Blue Water,-,0.0,3946.3,PROF,2618.0,29.0,ONE Pro Cycling,-,0.0,4703.5,CONT,3760.0,27.0,GM Europa Ovini,-,0.0,3819.5,CONT,1207.0,23.0,Riwal CeramicSpeed Cycling Team,-,0.0,3593.2,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
8,D.Formolo,Italy,22.0,1.81,Cannondale Pro Cycling,2014,1,9.0,20870.0,11.0,20870.0,0.0,0.0,0.0,1.0,7.0,3.0,11011,3481,4.0,27.0,2015.7407407407406,2.0,37.22222222222222,86.0,1872.0,13959.888888888889,21670.0,2.0,23.555555555555557,78.0,9793.0,56706.03703703704,109117.0,6.0,0.0,3.0,14.0,23.0,11776.0,12659.666666666666,13154.0,8.0,11.0,14.0,63053.0,75252.0,87874.0,1.0,0.0,0.2222222222222222,0.0,PRT,136,68.0,Team Cannondale - Garmin,108,1.0,10476.6,PRT,128,74.0,Cannondale - Drapac Pro Cycling,47,0.0,11507.7,PRT,176,60.0,Cannondale - Drapac Pro Cycling,129,0.0,9670.3,PRT,42,73.0,Bora - Hansgrohe,51,0.0,11419.2,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
9,E.Gasparotto,Italy,32.0,1.74,Astana Pro Team,2014,1,10.0,20870.0,12.0,20870.0,0.0,1.0,0.0,1.0,2.0,8.0,358,10073,2.0,14.0,2016.0,5.0,25.071428571428573,58.0,1851.0,14118.42857142857,20870.0,8.0,21.0,46.0,10751.0,59982.857142857145,109778.0,4.0,0.0,5.0,9.0,15.0,11776.0,12660.333333333334,13154.0,8.0,10.666666666666666,13.0,63053.0,75254.0,87880.0,2.0,0.0,0.2857142857142857,0.0,PROF,193,61.0,Wanty - Groupe Gobert,-,0.0,9959.4,PROF,105,57.0,Wanty - Groupe Gobert,-,1.0,8817.5,PRT,927,65.0,Bahrain - Merida,231,0.0,10868.6,PRT,127,56.0,Bahrain - Merida,59,0.0,8547.4,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
