,name,nation,age,height,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,biker_sys_nr,team_sys_nr,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,date,stage_type,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
0,Y.Hutarovich,Belarus,31,1.79,AG2R La Mondiale,2014,1,1,20870.0,1,20860.0,0,6,0,0,0,8,100,10072,1,7,2014.0,1,55.57142857142857,131,1975.0,16025.42857142857,20870.0,1,47.857142857142854,117,20860.0,71792.85714285714,112168.0,4.0,1.0,114,123.66666666666667,131,1975.0,12692.333333333334,18752.0,98,109.0,117,91441.0,104600.66666666667,112168.0,0.0,0.0,0.5714285714285714,0.14285714285714285,PROF,115.0,70.0,Bretagne - Séché Environnement,-,3.0,11430.9,PROF,430.0,59.0,Fortuneo - Vital Concept,-,1.0,9262.8,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
1,R.Maikin,Russia,24,,RusVelo,2014,1,2,20870.0,2,20864.0,0,2,0,0,2,0,14004,3482,3,17,2015.8235294117646,2,215.64705882352942,999,10576.0,189751.35294117648,999999.0,2,212.05882352941177,999,10576.0,212703.17647058822,999999.0,2.0,0.0,120,415.3333333333333,999,11649.0,343756.6666666667,999999.0,118,416.6666666666667,999,69665.0,386317.0,999999.0,0.0,0.0,0.11764705882352941,0.0,PROF,301.0,54.0,RusVelo,-,1.0,8473.1,PROF,161.0,63.0,Gazprom - RusVelo,-,2.0,10287.0,PROF,428.0,52.0,Gazprom - RusVelo,-,0.0,8936.9,PROF,756.0,44.0,Gazprom - RusVelo,-,0.0,7349.7,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
2,M.Mori,Italy,34,1.72,Lampre - Merida,2014,1,3,20870.0,3,20866.0,0,0,0,0,0,4,492,6418,3,20,2014.95,3,99.05,999,1916.0,64551.9,999999.0,3,88.85,999,9801.0,104339.8,999999.0,1.0,0.0,46,66.66666666666667,79,1963.0,14590.0,23031.0,39,41.333333333333336,45,62397.0,78405.33333333333,87391.0,0.0,0.0,0.05,0.0,PRT,640.0,73.0,Lampre - Merida,-,0.0,11960.4,PRT,375.0,70.0,Lampre - Merida,-,0.0,11537.7,PRT,1257.0,55.0,UAE Team Emirates,330,0.0,8602.1,PRT,1174.0,65.0,UAE Team Emirates,295,0.0,10322.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
3,G.Boivin,Canada,25,1.80,Cannondale Pro Cycling,2014,1,4,20870.0,6,20870.0,0,1,0,0,3,4,1937,3481,1,7,2014.0,4,70.0,151,1919.0,15905.285714285714,20870.0,6,51.42857142857143,95,20870.0,71552.85714285714,111337.0,2.0,0.0,91,100.0,110,1919.0,12412.0,18091.0,84,89.33333333333333,95,91327.0,104027.33333333333,111337.0,0.0,0.0,0.2857142857142857,0.0,CONT,460,62.0,Optum p/b Kelly Benefit Strategies,-,1.0,8655.5,CONT,619,40.0,Cycling Academy Team,-,1.0,5630.7,PROF,276,61.0,Israel Cycling Academy,-,1.0,9546.0,PROF,336,63.0,Israel Cycling Academy,-,0.0,10485.0,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
4,M.Haller,Austria,23,1.78,Team Katusha,2014,1,5,20870.0,7,20870.0,1,0,0,1,3,2,6246,8441,1,7,2014.0,5,65.14285714285714,133,1981.0,16026.285714285714,20870.0,7,53.42857142857143,118,20870.0,71803.28571428571,112183.0,2.0,0.0,117,122.66666666666667,133,1981.0,12694.333333333334,18752.0,100,110.66666666666667,118,91450.0,104611.66666666667,112183.0,0.0,0.0,0.2857142857142857,0.0,PRT,360,72.0,Team Katusha,196,1.0,11969.9,PRT,1340,85.0,Team Katusha,-,0.0,14288.5,PRT,765,85.0,Team Katusha - Alpecin,-,0.0,13660.8,PRT,1025,17.0,Team Katusha - Alpecin,-,0.0,2733.3,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
5,N.Maes,Belgium,28,1.90,Omega Pharma-Quick Step,2014,1,6,20870.0,8,20870.0,0,1,0,1,0,4,762,3475,2,12,2014.8333333333333,6,139.58333333333334,999,1976.0,97913.66666666667,999999.0,8,140.58333333333334,999,10870.0,136984.91666666666,999999.0,3.0,0.0,29,377.6666666666667,999,18776.0,346525.3333333333,999999.0,85,392.3333333333333,999,43641.0,368685.6666666667,999999.0,0.0,0.0,0.25,0.0,PRT,243,83.0,Etixx - Quick Step,182,0.0,13853.0,PRT,648,53.0,Etixx - Quick Step,-,0.0,9654.4,PRT,541,66.0,Lotto - Soudal,197,0.0,11288.0,PRT,847,55.0,Lotto - Soudal,287,0.0,9365.4,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
6,B.Vallee,Poland,21,,Lotto - Belisol,2014,1,7,20870.0,9,20870.0,0,1,0,0,2,9,6553,3473,2,13,2014.4615384615386,3,140.07692307692307,999,1910.0,91488.38461538461,999999.0,4,150.0,999,9892.0,130856.38461538461,999999.0,2.0,0.0,100,404.3333333333333,999,19412.0,347385.6666666667,999999.0,116,413.0,999,55037.0,377606.3333333333,999999.0,0.0,0.0,0.15384615384615385,0.0,CONT,486.0,46.0,ActiveJet Team,-,6.0,7528.7,PROF,4104.0,11.0,Verva - ActiveJet Pro Cycling Team,-,0.0,1552.2,CONT,441.0,39.0,Domin Sport,-,0.0,5882.3,PROF,358.0,60.0,CCC Sprandi Polkowice,-,0.0,9410.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
7,S.Lander,Denmark,23,1.75,BMC Racing Team,2014,1,8,20870.0,10,20870.0,0,0,2,0,0,6,1710,10075,1,6,2014.0,8,217.33333333333334,999,13167.0,181817.33333333334,999999.0,10,199.83333333333334,999,20870.0,213281.66666666666,999999.0,1.0,0.0,15,366.3333333333333,999,16804.0,345804.0,999999.0,37,368.6666666666667,999,74101.0,388334.3333333333,999999.0,0.0,0.0,0.16666666666666666,0.0,CONT,1610.0,26.0,Team Tre-For - Blue Water,-,0.0,3946.3,PROF,2618.0,29.0,ONE Pro Cycling,-,0.0,4703.5,CONT,3760.0,27.0,GM Europa Ovini,-,0.0,3819.5,CONT,1045.0,24.0,Riwal CeramicSpeed Cycling Team,-,0.0,3784.2,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
8,D.Formolo,Italy,22,1.81,Cannondale Pro Cycling,2014,1,9,20870.0,11,20870.0,0,0,0,1,7,3,11011,3481,4,27,2015.7407407407406,2,37.22222222222222,86,1872.0,13959.888888888889,21670.0,2,23.555555555555557,78,9793.0,56706.03703703704,109117.0,6.0,0.0,3,14.0,23,11776.0,12659.666666666666,13154.0,8,11.0,14,63053.0,75252.0,87874.0,1.0,0.0,0.2222222222222222,0.0,PRT,136,68.0,Team Cannondale - Garmin,108,1.0,10476.6,PRT,128,74.0,Cannondale - Drapac Pro Cycling,47,0.0,11507.7,PRT,176,60.0,Cannondale - Drapac Pro Cycling,129,0.0,9670.3,PRT,44,74.0,Bora - Hansgrohe,51,0.0,11619.0,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
9,E.Gasparotto,Italy,32,1.74,Astana Pro Team,2014,1,10,20870.0,12,20870.0,0,1,0,1,2,8,358,10073,2,14,2016.0,5,25.071428571428573,58,1851.0,14118.42857142857,20870.0,8,21.0,46,10751.0,59982.857142857145,109778.0,4.0,0.0,5,9.0,15,11776.0,12660.333333333334,13154.0,8,10.666666666666666,13,63053.0,75254.0,87880.0,2.0,0.0,0.2857142857142857,0.0,PROF,193,61.0,Wanty - Groupe Gobert,-,0.0,9959.4,PROF,105,57.0,Wanty - Groupe Gobert,-,1.0,8817.5,PRT,927,65.0,Bahrain - Merida,231,0.0,10868.6,PRT,134,57.0,Bahrain - Merida,59,0.0,8743.3,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,1
