,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,followers,height,mount_jerseys,nation,point_jerseys,sprint_jerseys,total_wins,youth_jerseys,name
0,PROF,115.0,70.0,Bretagne - Séché Environnement,-,3.0,11430.9,PROF,430.0,59.0,Fortuneo - Vital Concept,-,1.0,9262.8,,,,,,,,,,,,,,,0,1.79,0,Belarus,6,0,8,0,Y.Hutarovich
1,PROF,301.0,54.0,RusVelo,-,1.0,8473.1,PROF,161.0,63.0,Gazprom - RusVelo,-,2.0,10287.0,PROF,428.0,52.0,Gazprom - RusVelo,-,0.0,8936.9,PROF,781.0,46.0,Gazprom - RusVelo,-,0.0,7737.0,2,,0,Russia,2,0,0,0,R.Maikin
2,PRT,640.0,73.0,Lampre - Merida,-,0.0,11960.4,PRT,375.0,70.0,Lampre - Merida,-,0.0,11537.7,PRT,1257.0,55.0,UAE Team Emirates,330,0.0,8602.1,PRT,1231.0,67.0,UAE Team Emirates,301,0.0,10709.4,0,1.72,0,Italy,0,0,4,0,M.Mori
3,CONT,460,62.0,Optum p/b Kelly Benefit Strategies,-,1.0,8655.5,CONT,619,40.0,Cycling Academy Team,-,1.0,5630.7,PROF,276,61.0,Israel Cycling Academy,-,1.0,9546.0,PROF,233,69.0,Israel Cycling Academy,-,1.0,11476.1,4,1.80,0,Canada,1,0,5,0,G.Boivin
4,PRT,360,72.0,Team Katusha,196,1.0,11969.9,PRT,1340,85.0,Team Katusha,-,0.0,14288.5,PRT,765,85.0,Team Katusha - Alpecin,-,0.0,13660.8,PRT,1072,19.0,Team Katusha - Alpecin,-,0.0,2985.9,3,1.78,1,Austria,0,0,2,1,M.Haller
5,PRT,243,83.0,Etixx - Quick Step,182,0.0,13853.0,PRT,648,53.0,Etixx - Quick Step,-,0.0,9654.4,PRT,541,66.0,Lotto - Soudal,197,0.0,11288.0,PRT,722,58.0,Lotto - Soudal,293,0.0,9995.3,0,1.90,0,Belgium,1,0,4,1,N.Maes
6,CONT,486.0,46.0,ActiveJet Team,-,6.0,7528.7,PROF,4104.0,11.0,Verva - ActiveJet Pro Cycling Team,-,0.0,1552.2,CONT,441.0,39.0,Domin Sport,-,0.0,5882.3,PROF,383.0,66.0,CCC Sprandi Polkowice,-,0.0,10360.1,2,,0,Poland,1,0,9,0,B.Vallee
7,CONT,1610.0,26.0,Team Tre-For - Blue Water,-,0.0,3946.3,PROF,2618.0,29.0,ONE Pro Cycling,-,0.0,4703.5,CONT,3760.0,27.0,GM Europa Ovini,-,0.0,3819.5,CONT,1086.0,24.0,Riwal CeramicSpeed Cycling Team,-,0.0,3784.2,0,1.75,0,Denmark,0,2,6,0,S.Lander
8,PRT,136,68.0,Team Cannondale - Garmin,108,1.0,10476.6,PRT,128,74.0,Cannondale - Drapac Pro Cycling,47,0.0,11507.7,PRT,176,60.0,Cannondale - Drapac Pro Cycling,129,0.0,9670.3,PRT,51,77.0,Bora - Hansgrohe,52,0.0,12257.1,7,1.81,0,Italy,0,0,3,1,D.Formolo
9,PROF,193,61.0,Wanty - Groupe Gobert,-,0.0,9959.4,PROF,105,57.0,Wanty - Groupe Gobert,-,1.0,8817.5,PRT,927,65.0,Bahrain - Merida,231,0.0,10868.6,PRT,150,58.0,Bahrain - Merida,63,0.0,8934.3,2,1.74,0,Italy,1,0,8,1,E.Gasparotto
10,PROF,460.0,44.0,CCC Sprandi Polkowice,-,2.0,6865.7,PROF,584.0,35.0,CCC Sprandi Polkowice,-,2.0,5378.4,CONT,634.0,27.0,Wibatech - Fuji,-,2.0,3836.6,CONT,612.0,24.0,Wibatech Merx 7R,-,1.0,3335.2,1,,0,Poland,2,2,3,0,G.Stepniak
