name,biker_sys_nr,age,team,team_sys_nr,time_in_s,gc,gc_time_in_s,year,stage,position
Y.Hutarovich,100,31,AG2R La Mondiale,10072,20870.0,1,20860.0,2014,1,1
R.Maikin,14004,24,RusVelo,3482,20870.0,2,20864.0,2014,1,2
M.Mori,492,34,Lampre - Merida,6418,20870.0,3,20866.0,2014,1,3
G.Boivin,1937,25,Cannondale Pro Cycling,3481,20870.0,6,20870.0,2014,1,4
M.Haller,6246,23,Team Katusha,8441,20870.0,7,20870.0,2014,1,5
N.Maes,762,28,Omega Pharma-Quick Step,3475,20870.0,8,20870.0,2014,1,6
B.Vallee,6553,21,Lotto - Belisol,3473,20870.0,9,20870.0,2014,1,7
S.Lander,1710,23,BMC Racing Team,10075,20870.0,10,20870.0,2014,1,8
D.Formolo,11011,22,Cannondale Pro Cycling,3481,20870.0,11,20870.0,2014,1,9
E.Gasparotto,358,32,Astana Pro Team,10073,20870.0,12,20870.0,2014,1,10
G.Stepniak,6556,25,CCC Polsat Polkowice,3733,20870.0,13,20870.0,2014,1,11
G.Brambilla,2741,27,Omega Pharma-Quick Step,3475,20870.0,14,20870.0,2014,1,12
C.Meier,532,29,Orica - GreenEDGE,4434,20870.0,15,20870.0,2014,1,13
T.Bos,797,31,Belkin Pro Cycling Team,3482,20870.0,16,20870.0,2014,1,14
T.Kritskiy,830,27,RusVelo,3482,20870.0,17,20870.0,2014,1,15
D.Nerz,844,25,BMC Racing Team,10075,20870.0,18,20870.0,2014,1,16
A.Amador,745,28,Movistar Team,10081,20870.0,19,20870.0,2014,1,17
P.Poljanski,10994,24,Tinkoff - Saxo,4449,20870.0,20,20870.0,2014,1,18
A.Vuillermoz,14716,26,AG2R La Mondiale,10072,20870.0,21,20870.0,2014,1,19
B.Matysiak,2282,30,CCC Polsat Polkowice,3733,20870.0,22,20870.0,2014,1,20
G.Caruso,525,34,Team Katusha,8441,20870.0,23,20870.0,2014,1,21
A.Tulik,6515,24,Team Europcar,3472,20870.0,24,20870.0,2014,1,22
P.Niemiec,1836,34,Lampre - Merida,6418,20870.0,25,20870.0,2014,1,23
