,name,nation,age,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_wins,2018_year_km,date,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
0,Y.Hutarovich,Belarus,31,AG2R La Mondiale,2014,1,1,20870.0,1,20860.0,0,6,0,0,0,8,1,7,2014.0,1,55.57142857142857,131,1975.0,16025.428571428569,20870.0,1,47.85714285714285,117,20860.0,71792.85714285714,112168.0,4.0,1.0,114,123.66666666666669,131,1975.0,12692.333333333336,18752.0,98,109.0,117,91441.0,104600.66666666669,112168.0,0.0,0.0,0.5714285714285714,0.14285714285714285,PROF,115.0,70.0,Bretagne - Séché Environnement,3.0,11430.9,PROF,430.0,59.0,Fortuneo - Vital Concept,1.0,9262.8,NONE,999999,0.0,NONE,0.0,0.0,NONE,999999,0.0,NONE,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,1
1,T.De Gendt,Belgium,28,Omega Pharma-Quick Step,2014,1,108,20992.0,109,20992.0,11,1,4,1,4,8,1,7,2014.0,18,97.71428571428572,150,1811.0,15805.142857142857,20992.0,66,95.0,116,20992.0,71452.71428571429,110636.0,0.0,0.0,18,53.66666666666666,73,1811.0,12061.333333333336,17836.0,66,74.0,84,90989.0,103483.33333333331,110636.0,0.0,0.0,0.0,0.0,PRT,715.0,83.0,Lotto - Soudal,0.0,12891.2,PRT,238.0,81.0,Lotto - Soudal,2.0,12539.3,PRT,307.0,86.0,Lotto - Soudal,2.0,13335.0,PRT,364.0,82.0,Lotto - Soudal,2.0,12061.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
2,M.Belkov,Russia,29,Team Katusha,2014,1,109,21000.0,110,21000.0,2,0,2,0,0,5,4,24,2016.166666666667,66,229.45833333333331,999,1888.0,137467.66666666663,999999.0,66,223.08333333333331,999,9801.0,169953.75,999999.0,0.0,0.0,121,419.66666666666674,999,12955.0,342212.0,999999.0,126,417.33333333333326,999,64295.0,380514.66666666674,999999.0,0.0,0.0,0.0,0.0,PRT,1262.0,63.0,Team Katusha,0.0,9381.0,PRT,2618.0,72.0,Team Katusha,0.0,10772.9,PRT,4194.0,86.0,Team Katusha - Alpecin,0.0,14065.0,PRT,3348.0,55.0,Team Katusha - Alpecin,0.0,8625.8,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
3,B.Lancaster,Spain,35,Orica - GreenEDGE,2014,1,110,21022.0,111,21022.0,0,1,0,0,5,4,2,13,2014.5384615384612,41,180.7692307692308,999,1981.0,91660.23076923077,999999.0,103,188.46153846153842,999,9864.0,129318.23076923074,999999.0,0.0,0.0,104,109.33333333333331,119,1981.0,14670.666666666664,22846.0,112,119.0,133,78793.0,92243.33333333331,99959.0,0.0,0.0,0.0,0.0,PRT,72.0,64.0,Movistar Team,3.0,10538.8,PRT,129.0,51.0,Movistar Team,4.0,7686.5,PRT,172.0,72.0,Team LottoNL - Jumbo,1.0,11221.3,PROF,203.0,38.0,Nippo Vini Fantini - Europa Ovini,1.0,6144.9,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
4,S.Bewley,New Zealand,27,Orica - GreenEDGE,2014,1,111,21022.0,112,21022.0,0,0,0,0,1,1,3,15,2015.2666666666669,77,252.2,999,1896.0,146575.93333333332,999999.0,82,253.06666666666663,999,10720.0,178645.46666666667,999999.0,0.0,0.0,139,430.0,999,10720.0,340989.66666666674,999999.0,144,431.33333333333326,999,10720.0,344563.0,999999.0,0.0,0.0,0.0,0.0,PRT,1110.0,72.0,Orica - GreenEDGE,0.0,10575.5,PRT,2731.0,73.0,Orica - BikeExchange,0.0,11483.7,PRT,3265.0,61.0,Orica - Scott,0.0,8896.4,PRT,2047.0,44.0,Mitchelton - Scott,1.0,6453.5,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
5,A.Vorobyev,Russia,24,Team Katusha,2014,1,112,21022.0,113,21022.0,1,1,0,0,0,7,3,17,2014.8823529411768,17,226.29411764705884,999,1810.0,131252.82352941178,999999.0,105,236.4705882352941,999,9864.0,162864.11764705885,999999.0,0.0,0.0,113,423.0,999,18806.0,346710.33333333326,999999.0,123,433.0,999,44363.0,369177.0,999999.0,0.0,0.0,0.0,0.0,PRT,354.0,45.0,Team Katusha,1.0,6533.8,PRT,404.0,78.0,Team Katusha,2.0,11419.1,PROF,1862.0,53.0,Gazprom - RusVelo,0.0,8027.2,NONE,1436.0,38.0,Moscow Region,1.0,5136.5,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
6,A.Solomennikov,Russia,27,RusVelo,2014,1,113,21022.0,114,21022.0,0,0,0,0,0,6,2,13,2014.9230769230771,62,96.76923076923076,154,1881.0,15409.53846153846,24240.0,70,104.76923076923076,155,10879.0,62902.53846153847,111575.0,0.0,0.0,79,86.0,90,2001.0,15005.666666666664,24240.0,70,79.33333333333333,96,62508.0,79335.0,88749.0,0.0,0.0,0.0,0.0,PROF,899.0,58.0,RusVelo,1.0,8343.1,PROF,773.0,76.0,Gazprom - RusVelo,0.0,12689.4,PROF,2672.0,51.0,Gazprom - RusVelo,0.0,8098.1,NONE,999999,0.0,NONE,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
7,L.Mezgec,Slovenia,26,Team Giant - Shimano,2014,1,114,20870.0,83,20870.0,0,2,0,1,3,8,5,30,2016.1,2,192.9333333333333,999,1913.0,145963.36666666667,999999.0,5,213.96666666666667,999,9801.0,172539.06666666668,999999.0,8.0,0.0,44,386.33333333333326,999,11989.0,341768.66666666674,999999.0,89,404.0,999,64271.0,380176.66666666674,999999.0,0.0,0.0,0.26666666666666666,0.0,PRT,254.0,83.0,Team Giant - Alpecin,1.0,13206.6,PRT,372.0,62.0,Orica - BikeExchange,0.0,10295.6,PRT,144.0,69.0,Orica - Scott,2.0,11838.3,PRT,355.0,68.0,Mitchelton - Scott,1.0,10260.4,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
8,H.Houle,Canada,24,AG2R La Mondiale,2014,1,115,21024.0,115,21024.0,0,0,0,0,0,0,2,13,2014.9230769230771,12,61.769230769230774,152,1829.0,15260.615384615383,23031.0,28,71.38461538461539,119,10879.0,62607.69230769231,111131.0,0.0,0.0,12,23.33333333333333,39,1829.0,14545.333333333336,23031.0,28,32.0,36,62397.0,78360.66666666669,87257.0,0.0,0.0,0.0,0.0,PRT,524.0,62.0,AG2R La Mondiale,1.0,9615.2,PRT,472.0,80.0,AG2R La Mondiale,0.0,12453.0,PRT,631.0,82.0,AG2R La Mondiale,0.0,12771.7,PRT,224.0,56.0,Astana Pro Team,0.0,8775.2,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
9,M.Bono,Italy,31,Lampre - Merida,2014,1,116,21057.0,116,21057.0,0,0,0,0,1,1,1,7,2014.0,74,126.42857142857143,147,1996.0,15987.0,21057.0,107,116.57142857142857,133,21057.0,71944.0,111909.0,0.0,0.0,74,111.33333333333331,138,1996.0,12479.0,18091.0,107,116.0,133,91822.0,104548.0,111909.0,0.0,0.0,0.0,0.0,PRT,2492.0,85.0,Lampre - Merida,0.0,13335.1,PRT,2215.0,76.0,Lampre - Merida,0.0,12367.6,PRT,999999,59.0,UAE Team Emirates,0.0,9447.1,PRT,1459.0,42.0,UAE Team Emirates,0.0,6042.3,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
